"Date","N225.Open","N225.High","N225.Low","N225.Close","N225.Volume","N225.Adjusted"
2009-11-02,9903.769531,9904.610352,9736.139648,9802.950195,128500000,9802.950195
2009-11-04,9785.280273,9845,9767.910156,9844.30957,119300000,9844.30957
2009-11-05,9803.5,9825.820313,9691.69043,9717.44043,147100000,9717.44043
2009-11-06,9812.730469,9849.719727,9767,9789.349609,141500000,9789.349609
2009-11-09,9777.639648,9845.900391,9731.589844,9808.990234,117600000,9808.990234
2009-11-10,9904.679688,9979.459961,9857.099609,9870.730469,130400000,9870.730469
2009-11-11,9890.179688,9949.709961,9849.990234,9871.679688,122700000,9871.679688
2009-11-12,9921.450195,9943.570313,9788.490234,9804.490234,123600000,9804.490234
2009-11-13,9793.19043,9805.200195,9719.379883,9770.30957,122900000,9770.30957
2009-11-16,9784.139648,9802.530273,9725.80957,9791.179688,140800000,9791.179688
2009-11-17,9834.580078,9847.639648,9715.280273,9729.929688,138700000,9729.929688
2009-11-18,9723.230469,9788.80957,9631.830078,9676.799805,170600000,9676.799805
2009-11-19,9691.860352,9691.860352,9496.070313,9549.469727,2.03e+08,9549.469727
2009-11-20,9460.209961,9513.599609,9423.660156,9497.679688,163200000,9497.679688
2009-11-24,9511,9511,9397.790039,9401.580078,136500000,9401.580078
2009-11-25,9381.900391,9453.700195,9366.330078,9441.639648,145200000,9441.639648
2009-11-26,9354.799805,9457.240234,9324.990234,9383.240234,146600000,9383.240234
2009-11-27,9257.200195,9257.200195,9076.410156,9081.519531,176400000,9081.519531
2009-11-30,9189.169922,9353.740234,9162.179688,9345.549805,185700000,9345.549805
2009-12-01,9281.820313,9572.200195,9233.200195,9572.200195,212800000,9572.200195
2009-12-02,9551.790039,9643.320313,9514.150391,9608.94043,167300000,9608.94043
2009-12-03,9707.019531,9977.669922,9707.019531,9977.669922,1.92e+08,9977.669922
2009-12-04,10019.240234,10022.589844,9902.830078,10022.589844,1.8e+08,10022.589844
2009-12-07,10131.900391,10204.580078,10106.30957,10167.599609,164300000,10167.599609
2009-12-08,10079.80957,10149.320313,10079.80957,10140.469727,1.5e+08,10140.469727
2009-12-09,10048.94043,10048.94043,9985.969727,10004.719727,1.49e+08,10004.719727
2009-12-10,9964.049805,10035.919922,9834.219727,9862.820313,1.62e+08,9862.820313
2009-12-11,9958,10107.870117,9916.209961,10107.870117,2.22e+08,10107.870117
2009-12-14,10126.610352,10126.610352,10009.599609,10105.679688,161300000,10105.679688
2009-12-15,10053.450195,10111.759766,10033.900391,10083.480469,159900000,10083.480469
2009-12-16,10179.330078,10222.219727,10117.120117,10177.410156,225200000,10177.410156
2009-12-17,10199.919922,10260.120117,10163.799805,10163.799805,148200000,10163.799805
2009-12-18,10110.639648,10157.25,10027.849609,10142.049805,151800000,10142.049805
2009-12-21,10196.709961,10215.490234,10183.469727,10183.469727,120400000,10183.469727
2009-12-22,10256,10378.030273,10235.219727,10378.030273,171900000,10378.030273
2009-12-24,10413.370117,10558.410156,10413.370117,10536.919922,144200000,10536.919922
2009-12-25,10546.969727,10546.969727,10476.650391,10494.709961,82900000,10494.709961
2009-12-28,10521.80957,10652.990234,10513.549805,10634.230469,106200000,10634.230469
2009-12-29,10611.849609,10683.120117,10597.410156,10638.05957,122400000,10638.05957
